cond((Int)),disp((Int)),cond(guild),cond(Hab),cond(Spec),cond(Treatment),cond(guild:Hab),cond(guild:Spec),cond(guild:Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(guild:Hab:Spec),cond(guild:Hab:Treatment),cond(guild:Spec:Treatment),cond(Hab:Spec:Treatment),cond(guild:Hab:Spec:Treatment),df,logLik,AICc,delta,weight
2.139312988181105,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,+,NA,NA,47,-692.3682376206801,1495.3247105354778,56.647222620174716,2.50325400413014e-13
2.4300356907556195,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,35,-708.2399985255938,1495.3532364878074,56.67574857250429,2.46780356728157e-13
1.7975192628341434,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,+,+,NA,59,-675.12908885733,1495.4889469454292,56.811459030126116,2.30590513392896e-13
1.9680776397518795,+,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,47,-692.66304900646,1495.9143333070376,57.236845391734505,1.8641032407484e-13
1.8662343490873006,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,+,NA,NA,50,-688.6844741425081,1496.3280560917076,57.65056817640448,1.51576264609525e-13
1.9694441950584707,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,47,-693.0933140879522,1496.774863470022,58.09737555471884,1.21229471212216e-13
1.8474580577317161,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,50,-689.6964805502616,1498.3520689072147,59.674580991911625,5.50962958142125e-14
2.6424357080483243,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,40,-705.5643252590389,1502.8849229195116,64.20743500420849,5.71249271615578e-15
1.7273720370950854,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,+,NA,68,-666.8278861428328,1507.0422264689325,68.36473855362942,7.14625754527091e-16
2.108334736234495,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,56,-686.6326346649672,1509.5390335884895,70.86154567318636,2.05070828766208e-16
1.8186070770980196,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,59,-682.6884930307909,1510.6077552923512,71.93026737704804,1.20180475289392e-16
